SCHOOL,STATE,CITY,PROGRAM,TYPE,DEPARTMENT,DELIVERY,DURATION,PREREQ,LINK,LOC_LAT,LOC_LONG,WORLD_RANK,COUNTRY,TEACHING,INTERNATIONAL,RESEARCH,CITATIONS,INCOME,TOTAL_SCORE,NUM_STUDENTS,STUDENT_STAFF_RATIO,INTERNATIONAL_STUDENTS,F_M_RATIO,YEAR
American University,District of Columbia,Washington,"Online MBA with Analytics Concentration, Master of Science in  Analytics",M,Kogod School of Business,Online,15 months,Not Available,https://onlinebusiness.american.edu/admissions/,38.9378,-77.0901,401-500,United States of America,42.2,28.9,16.5,41.1,35.9,-,11604,12,12%,60:40:00,2016
American University,District of Columbia,Washington,"Online MBA with Analytics Concentration, Master of Science in  Analytics",M,Kogod School of Business,Online,15 months,Not Available,https://onlinebusiness.american.edu/admissions/,38.9378,-77.0901,401-500,United States of America,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2015
American University,District of Columbia,Washington,"Online MBA with Analytics Concentration, Master of Science in  Analytics",M,Kogod School of Business,Online,15 months,Not Available,https://onlinebusiness.american.edu/admissions/,38.9378,-77.0901,401-500,United States of America,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2014
American University,District of Columbia,Washington,"Online MBA with Analytics Concentration, Master of Science in  Analytics",M,Kogod School of Business,Online,15 months,Not Available,https://onlinebusiness.american.edu/admissions/,38.9378,-77.0901,401-500,United States of America,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2013
American University,District of Columbia,Washington,"Online MBA with Analytics Concentration, Master of Science in  Analytics",M,Kogod School of Business,Online,15 months,Not Available,https://onlinebusiness.american.edu/admissions/,38.9378,-77.0901,401-500,United States of America,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2012
American University,District of Columbia,Washington,"Online MBA with Analytics Concentration, Master of Science in  Analytics",M,Kogod School of Business,Online,15 months,Not Available,https://onlinebusiness.american.edu/admissions/,38.9378,-77.0901,401-500,United States of America,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2011
Arizona State University,Arizona,Tempe,Master of Science in Business Analytics,M,W.P. Carey School of Business,Online or Campus,9 month (FT) or 16 month (online),Not Available,https://programs.wpcarey.asu.edu/masters-programs/business-analytics,33.4219,-111.94,146,United States of America,32.4,31.9,38.1,84.6,32,49.7,83236,29.9,9%,61:40:00,2016
Arizona State University,Arizona,Tempe,Master of Science in Business Analytics,M,W.P. Carey School of Business,Online or Campus,9 month (FT) or 16 month (online),Not Available,https://programs.wpcarey.asu.edu/masters-programs/business-analytics,33.4219,-111.94,146,United States of America,35.7,29.5,37.5,73.1,32.6,46.9,83236,29.9,9%,50:50:00,2015
Arizona State University,Arizona,Tempe,Master of Science in Business Analytics,M,W.P. Carey School of Business,Online or Campus,9 month (FT) or 16 month (online),Not Available,https://programs.wpcarey.asu.edu/masters-programs/business-analytics,33.4219,-111.94,146,United States of America,33.8,28.6,35.9,83.6,31.4,48.9,83236,29.9,9%,50:50:00,2014
Arizona State University,Arizona,Tempe,Master of Science in Business Analytics,M,W.P. Carey School of Business,Online or Campus,9 month (FT) or 16 month (online),Not Available,https://programs.wpcarey.asu.edu/masters-programs/business-analytics,33.4219,-111.94,146,United States of America,38.4,27.4,45.2,79.9,31.8,51.9,83236,29.9,9%,50:50:00,2013
Arizona State University,Arizona,Tempe,Master of Science in Business Analytics,M,W.P. Carey School of Business,Online or Campus,9 month (FT) or 16 month (online),Not Available,https://programs.wpcarey.asu.edu/masters-programs/business-analytics,33.4219,-111.94,146,United States of America,38.2,26.1,39,80.3,28.7,49.9,83236,29.9,9%,50:50:00,2012
Arizona State University,Arizona,Tempe,Master of Science in Business Analytics,M,W.P. Carey School of Business,Online or Campus,9 month (FT) or 16 month (online),Not Available,https://programs.wpcarey.asu.edu/masters-programs/business-analytics,33.4219,-111.94,146,United States of America,43,24.1,44.1,66.9,-,50.3,83236,29.9,9%,50:50:00,2011
Auburn University,Alabama,Auburn University,Online Master of Business Administration with concentration in Business Analytics,M,Raymond J. Harbert College of Business,Online,36 credit hours,Not Available,http://harbert.auburn.edu/academics/online-programs/mba-online/index.php,32.6002,-85.4924,501-600,United States of America,30.2,27.9,19.4,21,37.2,-,22386,17.6,4%,62:40:00,2016
Auburn University,Alabama,Auburn University,Online Master of Business Administration with concentration in Business Analytics,M,Raymond J. Harbert College of Business,Online,36 credit hours,Not Available,http://harbert.auburn.edu/academics/online-programs/mba-online/index.php,32.6002,-85.4924,501-600,United States of America,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2015
Auburn University,Alabama,Auburn University,Online Master of Business Administration with concentration in Business Analytics,M,Raymond J. Harbert College of Business,Online,36 credit hours,Not Available,http://harbert.auburn.edu/academics/online-programs/mba-online/index.php,32.6002,-85.4924,501-600,United States of America,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2014
Auburn University,Alabama,Auburn University,Online Master of Business Administration with concentration in Business Analytics,M,Raymond J. Harbert College of Business,Online,36 credit hours,Not Available,http://harbert.auburn.edu/academics/online-programs/mba-online/index.php,32.6002,-85.4924,501-600,United States of America,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2013
Auburn University,Alabama,Auburn University,Online Master of Business Administration with concentration in Business Analytics,M,Raymond J. Harbert College of Business,Online,36 credit hours,Not Available,http://harbert.auburn.edu/academics/online-programs/mba-online/index.php,32.6002,-85.4924,501-600,United States of America,33.7,22.5,18.7,10.3,47.3,-,22386,17.6,4%,51:49:00,2012
Auburn University,Alabama,Auburn University,Online Master of Business Administration with concentration in Business Analytics,M,Raymond J. Harbert College of Business,Online,36 credit hours,Not Available,http://harbert.auburn.edu/academics/online-programs/mba-online/index.php,32.6002,-85.4924,501-600,United States of America,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2011
Boston University,Massachusetts,Boston,"Applied Business Analytics Graduate Certificate,MS in Statistical Practice, Master of Science in Computer Science - Data Analytics Concentration, Data Analytics Graduate Certificate, Master of Science in Applied Business Analytics Management",C,Department of Administrative Sciences,Online or On Campus,16 Credits,Not Available,http://www.bu.edu/met/programs/graduate/applied-business-analytics-certificate/,42.3496,-71.0998,64,United States of America,57.8,51,49.5,97.7,30.3,66.1,24789,8.6,17%,63:40:00,2016
Boston University,Massachusetts,Boston,"Applied Business Analytics Graduate Certificate,MS in Statistical Practice, Master of Science in Computer Science - Data Analytics Concentration, Data Analytics Graduate Certificate, Master of Science in Applied Business Analytics Management",C,Department of Administrative Sciences,Online or On Campus,16 Credits,Not Available,http://www.bu.edu/met/programs/graduate/applied-business-analytics-certificate/,42.3496,-71.0998,64,United States of America,56.4,47.8,46.7,94.4,30.3,63.6,24789,8.6,17%,58:42:00,2015
Boston University,Massachusetts,Boston,"Applied Business Analytics Graduate Certificate,MS in Statistical Practice, Master of Science in Computer Science - Data Analytics Concentration, Data Analytics Graduate Certificate, Master of Science in Applied Business Analytics Management",C,Department of Administrative Sciences,Online or On Campus,16 Credits,Not Available,http://www.bu.edu/met/programs/graduate/applied-business-analytics-certificate/,42.3496,-71.0998,64,United States of America,56.5,44.2,46.1,95.3,31.1,63.5,24789,8.6,17%,58:42:00,2014
Boston University,Massachusetts,Boston,"Applied Business Analytics Graduate Certificate,MS in Statistical Practice, Master of Science in Computer Science - Data Analytics Concentration, Data Analytics Graduate Certificate, Master of Science in Applied Business Analytics Management",C,Department of Administrative Sciences,Online or On Campus,16 Credits,Not Available,http://www.bu.edu/met/programs/graduate/applied-business-analytics-certificate/,42.3496,-71.0998,64,United States of America,65.4,39.2,50.9,94.2,30.6,66.8,24789,8.6,17%,58:42:00,2013
Boston University,Massachusetts,Boston,"Applied Business Analytics Graduate Certificate,MS in Statistical Practice, Master of Science in Computer Science - Data Analytics Concentration, Data Analytics Graduate Certificate, Master of Science in Applied Business Analytics Management",C,Department of Administrative Sciences,Online or On Campus,16 Credits,Not Available,http://www.bu.edu/met/programs/graduate/applied-business-analytics-certificate/,42.3496,-71.0998,64,United States of America,60.7,37.2,46.2,95.6,27.6,64.2,24789,8.6,17%,58:42:00,2012
Boston University,Massachusetts,Boston,"Applied Business Analytics Graduate Certificate,MS in Statistical Practice, Master of Science in Computer Science - Data Analytics Concentration, Data Analytics Graduate Certificate, Master of Science in Applied Business Analytics Management",C,Department of Administrative Sciences,Online or On Campus,16 Credits,Not Available,http://www.bu.edu/met/programs/graduate/applied-business-analytics-certificate/,42.3496,-71.0998,64,United States of America,53.6,38.1,51.9,91.4,29.6,64,24789,8.6,17%,58:42:00,2011
Brandeis University,Massachusetts,Waltham,"Master of Arts in Computational Linguistics, M.S. in Strategic Analytics",M,Mitchom School of Computer Science,Campus,Two years,Not Available,https://www.brandeis.edu/gps/future-students/Get-started/apply-for-admission.html,42.3649,-71.2547,201-225,United States of America,28.3,47,25.7,97.3,38.6,49.9,5495,12.6,22%,64:40:00,2016
Brandeis University,Massachusetts,Waltham,"Master of Arts in Computational Linguistics, M.S. in Strategic Analytics",M,Mitchom School of Computer Science,Campus,Two years,Not Available,https://www.brandeis.edu/gps/future-students/Get-started/apply-for-admission.html,42.3649,-71.2547,201-225,United States of America,25.8,54.7,29.1,95.3,43.9,50.3,5495,12.6,22%,55:45:00,2015
Brandeis University,Massachusetts,Waltham,"Master of Arts in Computational Linguistics, M.S. in Strategic Analytics",M,Mitchom School of Computer Science,Campus,Two years,Not Available,https://www.brandeis.edu/gps/future-students/Get-started/apply-for-admission.html,42.3649,-71.2547,201-225,United States of America,28.8,50.6,24.3,86.5,36.8,46.6,5495,12.6,22%,55:45:00,2014
Brandeis University,Massachusetts,Waltham,"Master of Arts in Computational Linguistics, M.S. in Strategic Analytics",M,Mitchom School of Computer Science,Campus,Two years,Not Available,https://www.brandeis.edu/gps/future-students/Get-started/apply-for-admission.html,42.3649,-71.2547,201-225,United States of America,27.3,45.3,27.9,83.1,37.4,-,5495,12.6,22%,55:45:00,2013
Brandeis University,Massachusetts,Waltham,"Master of Arts in Computational Linguistics, M.S. in Strategic Analytics",M,Mitchom School of Computer Science,Campus,Two years,Not Available,https://www.brandeis.edu/gps/future-students/Get-started/apply-for-admission.html,42.3649,-71.2547,201-225,United States of America,25.3,40.3,27.3,90.2,33.7,46.7,5495,12.6,22%,55:45:00,2012
Brandeis University,Massachusetts,Waltham,"Master of Arts in Computational Linguistics, M.S. in Strategic Analytics",M,Mitchom School of Computer Science,Campus,Two years,Not Available,https://www.brandeis.edu/gps/future-students/Get-started/apply-for-admission.html,42.3649,-71.2547,201-225,United States of America,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2011
Carnegie Mellon University,Pennsylvania,Pittsburgh,"Master of Science in Information Technology, Business Intelligence and Data Analytics (MSIT-BIDA),MBA: Business Analytics Track, Master of Information Systems Management, Business Intelligence and Data Analytics (MISM-BIDA), Master of Computational Data Science (MCDS)",M,Heinz College,Campus or Online,144 units,computer science,http://mcds.cs.cmu.edu/learn-us-curriculum,40.4446,-79.9429,24,United States of America,67.4,57.1,88.8,99.1,57.5,82.3,11885,13.1,35%,65:40:00,2016
Carnegie Mellon University,Pennsylvania,Pittsburgh,"Master of Science in Information Technology, Business Intelligence and Data Analytics (MSIT-BIDA),MBA: Business Analytics Track, Master of Information Systems Management, Business Intelligence and Data Analytics (MISM-BIDA), Master of Computational Data Science (MCDS)",M,Heinz College,Campus or Online,144 units,computer science,http://mcds.cs.cmu.edu/learn-us-curriculum,40.4446,-79.9429,24,United States of America,61.6,59.3,74.9,92,53,74.3,11885,13.1,35%,39 : 61,2015
Carnegie Mellon University,Pennsylvania,Pittsburgh,"Master of Science in Information Technology, Business Intelligence and Data Analytics (MSIT-BIDA),MBA: Business Analytics Track, Master of Information Systems Management, Business Intelligence and Data Analytics (MISM-BIDA), Master of Computational Data Science (MCDS)",M,Heinz College,Campus or Online,144 units,computer science,http://mcds.cs.cmu.edu/learn-us-curriculum,40.4446,-79.9429,24,United States of America,63.1,58.1,77.4,93.9,52.5,76,11885,13.1,35%,39 : 61,2014
Carnegie Mellon University,Pennsylvania,Pittsburgh,"Master of Science in Information Technology, Business Intelligence and Data Analytics (MSIT-BIDA),MBA: Business Analytics Track, Master of Information Systems Management, Business Intelligence and Data Analytics (MISM-BIDA), Master of Computational Data Science (MCDS)",M,Heinz College,Campus or Online,144 units,computer science,http://mcds.cs.cmu.edu/learn-us-curriculum,40.4446,-79.9429,24,United States of America,71.8,51.4,87,95.5,55.9,81.5,11885,13.1,35%,39 : 61,2013
Carnegie Mellon University,Pennsylvania,Pittsburgh,"Master of Science in Information Technology, Business Intelligence and Data Analytics (MSIT-BIDA),MBA: Business Analytics Track, Master of Information Systems Management, Business Intelligence and Data Analytics (MISM-BIDA), Master of Computational Data Science (MCDS)",M,Heinz College,Campus or Online,144 units,computer science,http://mcds.cs.cmu.edu/learn-us-curriculum,40.4446,-79.9429,24,United States of America,65.7,55,79.5,97.4,60.7,78.4,11885,13.1,35%,39 : 61,2012
Carnegie Mellon University,Pennsylvania,Pittsburgh,"Master of Science in Information Technology, Business Intelligence and Data Analytics (MSIT-BIDA),MBA: Business Analytics Track, Master of Information Systems Management, Business Intelligence and Data Analytics (MISM-BIDA), Master of Computational Data Science (MCDS)",M,Heinz College,Campus or Online,144 units,computer science,http://mcds.cs.cmu.edu/learn-us-curriculum,40.4446,-79.9429,24,United States of America,70.3,39.1,79.3,95.7,53.7,79.3,11885,13.1,35%,39 : 61,2011
Case Western Reserve University,Ohio,Cleveland,MSM - Business Analytics,M,Weatherhead School of Management,Campus,33 credit hours,Not Available,https://weatherhead.case.edu/degrees/masters/ms-management/business-analytics/,41.5008,-81.6058,116,United States of America,46.1,40.5,33.2,92,34.1,55.3,9259,6.4,17%,66:40:00,2016
Case Western Reserve University,Ohio,Cleveland,MSM - Business Analytics,M,Weatherhead School of Management,Campus,33 credit hours,Not Available,https://weatherhead.case.edu/degrees/masters/ms-management/business-analytics/,41.5008,-81.6058,116,United States of America,46.5,34.4,37.4,82.9,-,53.2,9259,6.4,17%,48:52:00,2015
Case Western Reserve University,Ohio,Cleveland,MSM - Business Analytics,M,Weatherhead School of Management,Campus,33 credit hours,Not Available,https://weatherhead.case.edu/degrees/masters/ms-management/business-analytics/,41.5008,-81.6058,116,United States of America,51,35.4,38.6,82.8,-,55,9259,6.4,17%,48:52:00,2014
Case Western Reserve University,Ohio,Cleveland,MSM - Business Analytics,M,Weatherhead School of Management,Campus,33 credit hours,Not Available,https://weatherhead.case.edu/degrees/masters/ms-management/business-analytics/,41.5008,-81.6058,116,United States of America,56.5,34.2,42,80.4,-,56.9,9259,6.4,17%,48:52:00,2013
Case Western Reserve University,Ohio,Cleveland,MSM - Business Analytics,M,Weatherhead School of Management,Campus,33 credit hours,Not Available,https://weatherhead.case.edu/degrees/masters/ms-management/business-analytics/,41.5008,-81.6058,116,United States of America,54.2,29.9,40.2,78.4,-,54.6,9259,6.4,17%,48:52:00,2012
Case Western Reserve University,Ohio,Cleveland,MSM - Business Analytics,M,Weatherhead School of Management,Campus,33 credit hours,Not Available,https://weatherhead.case.edu/degrees/masters/ms-management/business-analytics/,41.5008,-81.6058,116,United States of America,67.2,56.5,53.8,66,-,62.2,9259,6.4,17%,48:52:00,2011
Colorado State University,Colorado,Greenwood Village,Certificate in Business Intelligence,C,Not Available,Online,12 credits,Not Available,https://csuglobal.edu/graduate/programs/certificates-completion/business-intelligence/,39.6087,-104.898,NA,NA,31.6,34.5,33,59.3,41,-,26769,19,5%,67:40:00,2016
Colorado State University,Colorado,Greenwood Village,Certificate in Business Intelligence,C,Not Available,Online,12 credits,Not Available,https://csuglobal.edu/graduate/programs/certificates-completion/business-intelligence/,39.6087,-104.898,NA,NA,27.6,30.4,31.3,59.9,38.8,-,26769,19,5%,52:48:00,2015
Colorado State University,Colorado,Greenwood Village,Certificate in Business Intelligence,C,Not Available,Online,12 credits,Not Available,https://csuglobal.edu/graduate/programs/certificates-completion/business-intelligence/,39.6087,-104.898,NA,NA,28.6,31.4,29.8,57.4,38.5,-,26769,19,5%,52:48:00,2014
Colorado State University,Colorado,Greenwood Village,Certificate in Business Intelligence,C,Not Available,Online,12 credits,Not Available,https://csuglobal.edu/graduate/programs/certificates-completion/business-intelligence/,39.6087,-104.898,NA,NA,30.8,29.8,32,55.8,-,-,26769,19,5%,52:48:00,2013
Colorado State University,Colorado,Greenwood Village,Certificate in Business Intelligence,C,Not Available,Online,12 credits,Not Available,https://csuglobal.edu/graduate/programs/certificates-completion/business-intelligence/,39.6087,-104.898,NA,NA,26.9,25.5,32,51.2,-,-,26769,19,5%,52:48:00,2012
Colorado State University,Colorado,Greenwood Village,Certificate in Business Intelligence,C,Not Available,Online,12 credits,Not Available,https://csuglobal.edu/graduate/programs/certificates-completion/business-intelligence/,39.6087,-104.898,NA,NA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2011
Columbia University,New York,New York,"MS - Masters in Data Science, Master of Science in Applied Analytics, Masters of Science in Computer Science, concentration in Machine Learning",M,Institute for Data Sciences and Engineering,Campus,30 credit hours,"computer science, math",http://sps.columbia.edu/applied-analytics/master-of-science-in-applied-analytics/curriculum,40.8083,-73.9619,NA,NA,85.9,73.5,82.2,98.1,-,86.1,25055,5.9,28%,68:40:00,2016
Columbia University,New York,New York,"MS - Masters in Data Science, Master of Science in Applied Analytics, Masters of Science in Computer Science, concentration in Machine Learning",M,Institute for Data Sciences and Engineering,Campus,30 credit hours,"computer science, math",http://sps.columbia.edu/applied-analytics/master-of-science-in-applied-analytics/curriculum,40.8083,-73.9619,NA,NA,83.9,68.3,79.4,95.3,-,84.4,25055,5.9,28%,0:00:00,2015
Columbia University,New York,New York,"MS - Masters in Data Science, Master of Science in Applied Analytics, Masters of Science in Computer Science, concentration in Machine Learning",M,Institute for Data Sciences and Engineering,Campus,30 credit hours,"computer science, math",http://sps.columbia.edu/applied-analytics/master-of-science-in-applied-analytics/curriculum,40.8083,-73.9619,NA,NA,86.6,68,79.1,95.6,-,85.2,25055,5.9,28%,0:00:00,2014
Columbia University,New York,New York,"MS - Masters in Data Science, Master of Science in Applied Analytics, Masters of Science in Computer Science, concentration in Machine Learning",M,Institute for Data Sciences and Engineering,Campus,30 credit hours,"computer science, math",http://sps.columbia.edu/applied-analytics/master-of-science-in-applied-analytics/curriculum,40.8083,-73.9619,NA,NA,89.7,66.1,82,96.1,-,87,25055,5.9,28%,0:00:00,2013
Columbia University,New York,New York,"MS - Masters in Data Science, Master of Science in Applied Analytics, Masters of Science in Computer Science, concentration in Machine Learning",M,Institute for Data Sciences and Engineering,Campus,30 credit hours,"computer science, math",http://sps.columbia.edu/applied-analytics/master-of-science-in-applied-analytics/curriculum,40.8083,-73.9619,NA,NA,89.1,67.6,81.8,97.8,-,87.5,25055,5.9,28%,0:00:00,2012
Columbia University,New York,New York,"MS - Masters in Data Science, Master of Science in Applied Analytics, Masters of Science in Computer Science, concentration in Machine Learning",M,Institute for Data Sciences and Engineering,Campus,30 credit hours,"computer science, math",http://sps.columbia.edu/applied-analytics/master-of-science-in-applied-analytics/curriculum,40.8083,-73.9619,NA,NA,73.8,90.9,73.8,92.6,-,81,25055,5.9,28%,0:00:00,2011
Cornell University,New York,Ithaca,Master of Professional Studies (MPS) in Applied Statistics (Option II: Data Science),M,Department of Statistical Science,Campus,2 semesters,technical bachelor's degree,http://stat.cornell.edu/academics/mps,42.4453,-76.4827,18,United States of America,77.9,63.9,86.1,97.2,33.7,84,21424,10.2,19%,69:40:00,2016
Cornell University,New York,Ithaca,Master of Professional Studies (MPS) in Applied Statistics (Option II: Data Science),M,Department of Statistical Science,Campus,2 semesters,technical bachelor's degree,http://stat.cornell.edu/academics/mps,42.4453,-76.4827,18,United States of America,71.6,59,83.8,91.5,33.7,79.4,21424,10.2,19%,48:52:00,2015
Cornell University,New York,Ithaca,Master of Professional Studies (MPS) in Applied Statistics (Option II: Data Science),M,Department of Statistical Science,Campus,2 semesters,technical bachelor's degree,http://stat.cornell.edu/academics/mps,42.4453,-76.4827,18,United States of America,72.1,55.6,83.8,90.8,35.8,79.1,21424,10.2,19%,48:52:00,2014
Cornell University,New York,Ithaca,Master of Professional Studies (MPS) in Applied Statistics (Option II: Data Science),M,Department of Statistical Science,Campus,2 semesters,technical bachelor's degree,http://stat.cornell.edu/academics/mps,42.4453,-76.4827,18,United States of America,77,53.8,92.1,91.8,39.5,83.3,21424,10.2,19%,48:52:00,2013
Cornell University,New York,Ithaca,Master of Professional Studies (MPS) in Applied Statistics (Option II: Data Science),M,Department of Statistical Science,Campus,2 semesters,technical bachelor's degree,http://stat.cornell.edu/academics/mps,42.4453,-76.4827,18,United States of America,70.4,53.4,87.2,93.5,-,80.5,21424,10.2,19%,48:52:00,2012
Cornell University,New York,Ithaca,Master of Professional Studies (MPS) in Applied Statistics (Option II: Data Science),M,Department of Statistical Science,Campus,2 semesters,technical bachelor's degree,http://stat.cornell.edu/academics/mps,42.4453,-76.4827,18,United States of America,82.2,62.4,88.8,88.1,34.7,83.9,21424,10.2,19%,48:52:00,2011
Creighton University,Nebraska,Omaha,"Master of Science in Data Science, Master of Science in Business Intelligence and Analytics (MS-BIA)",M,College of Professional Studies,Campus,27 units,Not Available,https://business.creighton.edu/graduate/be-heider-graduate-student,41.2653,-95.947,301-350,United States of America,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,70:40:00,2016
Creighton University,Nebraska,Omaha,"Master of Science in Data Science, Master of Science in Business Intelligence and Analytics (MS-BIA)",M,College of Professional Studies,Campus,27 units,Not Available,https://business.creighton.edu/graduate/be-heider-graduate-student,41.2653,-95.947,301-350,United States of America,40.7,29.1,10.4,63.3,32.4,-,7086,8.3,2%,57:43:00,2015
Creighton University,Nebraska,Omaha,"Master of Science in Data Science, Master of Science in Business Intelligence and Analytics (MS-BIA)",M,College of Professional Studies,Campus,27 units,Not Available,https://business.creighton.edu/graduate/be-heider-graduate-student,41.2653,-95.947,301-350,United States of America,41.3,21.7,10.9,68.2,-,-,7086,8.3,2%,57:43:00,2014
Creighton University,Nebraska,Omaha,"Master of Science in Data Science, Master of Science in Business Intelligence and Analytics (MS-BIA)",M,College of Professional Studies,Campus,27 units,Not Available,https://business.creighton.edu/graduate/be-heider-graduate-student,41.2653,-95.947,301-350,United States of America,42.4,26,9.3,61,-,-,7086,8.3,2%,57:43:00,2013
Creighton University,Nebraska,Omaha,"Master of Science in Data Science, Master of Science in Business Intelligence and Analytics (MS-BIA)",M,College of Professional Studies,Campus,27 units,Not Available,https://business.creighton.edu/graduate/be-heider-graduate-student,41.2653,-95.947,301-350,United States of America,43.6,25,10.5,55.7,24.2,-,7086,8.3,2%,57:43:00,2012
Creighton University,Nebraska,Omaha,"Master of Science in Data Science, Master of Science in Business Intelligence and Analytics (MS-BIA)",M,College of Professional Studies,Campus,27 units,Not Available,https://business.creighton.edu/graduate/be-heider-graduate-student,41.2653,-95.947,301-350,United States of America,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2011
Drexel University,Pennsylvania,Philadelphia,"Online Master's in Health Informatics, M.S. in Business Analytics, Certificate in Healthcare Informatics",M,College of Computing and Informatics,Online,45 credits,Not Available,http://catalog.drexel.edu/graduate/collegeofcomputingandinformatics/healthinformatics/#certificateinhealthcareinformaticstext,39.9549,-75.1887,301-350,United States of America,31.2,46.3,14.6,57.7,36.3,-,20713,10.8,18%,71:40:00,2016
Drexel University,Pennsylvania,Philadelphia,"Online Master's in Health Informatics, M.S. in Business Analytics, Certificate in Healthcare Informatics",M,College of Computing and Informatics,Online,45 credits,Not Available,http://catalog.drexel.edu/graduate/collegeofcomputingandinformatics/healthinformatics/#certificateinhealthcareinformaticstext,39.9549,-75.1887,301-350,United States of America,31.8,42.2,14.3,57.5,34.6,-,20713,10.8,18%,48:52:00,2015
Drexel University,Pennsylvania,Philadelphia,"Online Master's in Health Informatics, M.S. in Business Analytics, Certificate in Healthcare Informatics",M,College of Computing and Informatics,Online,45 credits,Not Available,http://catalog.drexel.edu/graduate/collegeofcomputingandinformatics/healthinformatics/#certificateinhealthcareinformaticstext,39.9549,-75.1887,301-350,United States of America,33.9,38.2,15,56.2,32.5,-,20713,10.8,18%,48:52:00,2014
Drexel University,Pennsylvania,Philadelphia,"Online Master's in Health Informatics, M.S. in Business Analytics, Certificate in Healthcare Informatics",M,College of Computing and Informatics,Online,45 credits,Not Available,http://catalog.drexel.edu/graduate/collegeofcomputingandinformatics/healthinformatics/#certificateinhealthcareinformaticstext,39.9549,-75.1887,301-350,United States of America,34.7,36.6,14.9,65.1,34.7,-,20713,10.8,18%,48:52:00,2013
Drexel University,Pennsylvania,Philadelphia,"Online Master's in Health Informatics, M.S. in Business Analytics, Certificate in Healthcare Informatics",M,College of Computing and Informatics,Online,45 credits,Not Available,http://catalog.drexel.edu/graduate/collegeofcomputingandinformatics/healthinformatics/#certificateinhealthcareinformaticstext,39.9549,-75.1887,301-350,United States of America,36.9,37.8,12.2,59.4,29.9,-,20713,10.8,18%,48:52:00,2012
Drexel University,Pennsylvania,Philadelphia,"Online Master's in Health Informatics, M.S. in Business Analytics, Certificate in Healthcare Informatics",M,College of Computing and Informatics,Online,45 credits,Not Available,http://catalog.drexel.edu/graduate/collegeofcomputingandinformatics/healthinformatics/#certificateinhealthcareinformaticstext,39.9549,-75.1887,301-350,United States of America,45,60.6,35.9,58.2,27.4,46.9,20713,10.8,18%,48:52:00,2011
Duke University,North Carolina,Durham,Master of Quantitative Management,M,Fuqua School of Business,Campus,10 Months,technical bachelor's degree,http://www.fuqua.duke.edu/master-quantitative-management/,36.0016,-78.9423,22,United States of America,76,56.5,78,99,100,82.7,15172,4.8,17%,72:40:00,2016
Duke University,North Carolina,Durham,Master of Quantitative Management,M,Fuqua School of Business,Campus,10 Months,technical bachelor's degree,http://www.fuqua.duke.edu/master-quantitative-management/,36.0016,-78.9423,22,United States of America,73.5,50.5,75.2,96.6,100,79.9,15172,4.8,17%,49:51:00,2015
Duke University,North Carolina,Durham,Master of Quantitative Management,M,Fuqua School of Business,Campus,10 Months,technical bachelor's degree,http://www.fuqua.duke.edu/master-quantitative-management/,36.0016,-78.9423,22,United States of America,73.9,50,73,96.7,100,79.3,15172,4.8,17%,49:51:00,2014
Duke University,North Carolina,Durham,Master of Quantitative Management,M,Fuqua School of Business,Campus,10 Months,technical bachelor's degree,http://www.fuqua.duke.edu/master-quantitative-management/,36.0016,-78.9423,22,United States of America,72.3,45.8,81.5,97,100,81.2,15172,4.8,17%,49:51:00,2013
Duke University,North Carolina,Durham,Master of Quantitative Management,M,Fuqua School of Business,Campus,10 Months,technical bachelor's degree,http://www.fuqua.duke.edu/master-quantitative-management/,36.0016,-78.9423,22,United States of America,62.6,46.9,77.9,97.4,100,77.4,15172,4.8,17%,49:51:00,2012
Duke University,North Carolina,Durham,Master of Quantitative Management,M,Fuqua School of Business,Campus,10 Months,technical bachelor's degree,http://www.fuqua.duke.edu/master-quantitative-management/,36.0016,-78.9423,22,United States of America,66.8,49.4,71.5,92.3,100,76.5,15172,4.8,17%,49:51:00,2011
